5	0.1
 "Ser	v	2
 "Sim	‚	5
 "Sma	l	30
 "S√≥	 	1
 "Tem	o	1
 "Tem	p	1
 "Thi	n	5
 "Tod	o	1
 "Tra	b	1
 "Tra	t	1
 "Uma	 	4
 "Uni	√	11
 "Uni	d	5
 "[o 	P	1
 "a E	s	1
 "a N	A	1
 "a c	o	1
 "a e	c	1
 "a e	s	1
 "a e	v	1
 "a f	a	1
 "a n	o	1
 "a p	r	3
 "a v	e	1
 "aba	n	1
 "aco	l	1
 "act	i	1
 "act	o	2
 "adi	d	1
 "adq	u	1
 "afl	u	1
 "aju	d	1
 "al√	©	1
 "ant	i	1
 "ao 	p	1
 "ape	r	1
 "apr	e	2
 "as 	n	1
 "ati	t	1
 "at√	©	1
 "ava	l	1
 "bal	c	1
 "boa	 	1
 "boa	s	3
 "bom	 	1
 "bon	s	1
 "b√≥	s	1
 "cai	x	8
 "cam	p	1
 "can	a	1
 "car	t	7
 "cas	a	1
 "cat	c	2
 "cat	e	2
 "cau	s	1
 "cen	t	1
 "cer	t	1
 "cha	m	1
 "cha	n	1
 "cha	v	1
 "civ	i	1
 "cl√	°	1
 "coe	s	2
 "col	√	1
 "col	a	2
 "col	i	1
 "com	i	1
 "com	p	7
 "con	d	1
 "con	s	1
 "con	t	3
 "con	v	3
 "coo	p	6
 "cre	s	1
 "cri	c	2
 "cul	t	2
 "cum	p	4
 "c√≥	d	1
 "de 	a	1
 "de 	f	1
 "de 	g	1
 "de 	q	1
 "de 	t	1
 "dei	x	2
 "dem	o	1
 "dep	o	1
 "des	d	1
 "des	t	1
 "dif	e	1
 "dil	e	1
 "dip	l	1
 "dir	e	1
 "dis	p	1
 "dit	a	1
 "div	e	2
 "div	i	2
 "doc	u	1
 "dum	p	1
 "dur	a	1
 "e v	a	1
 "eco	l	2
 "eco	n	2
 "efe	i	2
 "efi	c	2
 "ele	"	1
 "em 	r	1
 "emi	s	1
 "emp	r	2
 "eng	e	1
 "equ	i	1
 "esp	a	1
 "esp	e	1
 "esq	u	1
 "est	a	1
 "est	r	1
 "eur	o	2
 "exc	e	1
 "ext	r	1
 "fab	r	3
 "fal	h	1
 "fal	s	1
 "fam	√	1
 "far	m	1
 "fav	a	1
 "fle	x	1
 "fro	u	1
 "fug	a	1
 "ges	t	1
 "gol	d	1
 "gov	e	4
 "gra	n	1
 "har	m	2
 "his	t	2
 "hum	a	1
 "ide	n	1
 "igu	a	1
 "ime	d	1
 "imp	o	2
 "imp	r	1
 "inc	r	1
 "ind	i	1
 "inf	e	1
 "inf	o	1
 "ins	e	1
 "ins	t	1
 "int	e	5
 "inv	e	2
 "in√	≠	1
 "isl	a	1
 "jog	o	1
 "leg	i	2
 "lib	e	2
 "lic	e	2
 "lim	p	1
 "lis	t	9
 "liv	r	1
 "lob	i	2
 "lut	a	2
 "mad	e	1
 "mai	n	1
 "mai	s	8
 "mar	c	1
 "mar	g	2
 "mau	s	1
 "mec	a	1
 "med	i	3
 "mem	o	2
 "men	o	2
 "mer	a	1
 "mer	c	2
 "mob	i	1
 "mod	e	2
 "mor	a	1
 "mud	a	1
 "m√°	q	1
 "m√°	s	1
 "m√∫	s	1
 "nan	o	1
 "nas	c	1
 "nec	e	1
 "neg	r	1
 "nem	 	1
 "no 	m	1
 "no 	s	1
 "no 	v	1
 "nor	m	1
 "nov	a	2
 "nul	a	1
 "n√£	o	14
 "n√≥	s	1
 "o P	I	1
 "o m	√	1
 "o p	r	1
 "o r	e	1
 "o s	e	1
 "o t	r	1
 "o √	∫	1
 "obj	e	1
 "obr	i	1
 "oil	 	1
 "one	 	1
 "ori	e	1
 "os 	c	1
 "out	r	1
 "ovo	 	1
 "pac	o	9
 "par	a	1
 "par	t	4
 "pat	r	1
 "pa√	≠	1
 "peg	a	3
 "pen	s	1
 "pes	c	1
 "pod	e	4
 "pol	u	33
 "pon	d	1
 "pop	u	1
 "por	 	1
 "pot	e	1
 "pre	c	2
 "pre	p	4
 "pri	n	1
 "pro	c	1
 "pro	d	1
 "pro	g	1
 "pro	p	1
 "pru	d	1
 "p√°	r	1
 "qua	n	2
 "que	s	1
 "rea	i	1
 "rea	l	1
 "rec	e	1
 "rec	o	1
 "rec	u	2
 "red	e	2
 "reg	i	9
 "reg	u	1
 "rel	a	2
 "res	u	1
 "ret	√	1
 "ret	o	1
 "se 	f	1
 "se"	,	1
 "seg	u	1
 "sem	p	1
 "sen	h	1
 "ser	v	1
 "sim	‚	3
 "sim	"	1
 "sim	,	1
 "sim	p	1
 "sis	t	1
 "sol	i	1
 "suj	a	1
 "sup	e	1
 "s√≥	 	1
 "tal	v	1
 "tem	 	2
 "teo	r	1
 "ter	r	1
 "tes	t	5
 "tex	t	1
 "tod	o	3
 "tom	a	1
 "tox	i	1
 "tra	b	2
 "tra	d	1
 "tra	n	1
 "tri	p	1
 "tri	u	1
 "tud	o	1
 "um 	b	1
 "um 	n	1
 "um 	p	1
 "uma	 	4
 "uni	√	1
 "uni	d	1
 "uni	f	1
 "urb	a	1
 "uti	l	1
 "vac	a	1
 "val	o	3
 "vam	o	1
 "ven	d	2
 "ver	d	2
 "via	j	1
 "vio	l	1
 "viv	a	1
 "vot	a	4
 "√â 	a	1
 "√† 	m	1
 "√©"	 	1
 % as	 	1
 % at	√	2
 % co	m	1
 % da	 	4
 % da	s	5
 % de	 	6
 % do	 	26
 % do	s	10
 % e 	9	6
 % e 	a	1
 % e 	d	1
 % e 	o	1
 % e 	r	1
 % e 	u	1
 % e,	 	1
 % em	 	2
 % ga	r	1
 % na	 	1
 % no	s	2
 % o 	a	1
 % o 	o	2
 % os	 	1
 % pa	r	2
 % po	r	1
 % pr	o	2
 %) e	 	1
 %), 	c	2
 %, a	l	1
 %, a	u	1
 %, c	o	1
 %, e	 	1
 %, e	s	1
 %, n	u	1
 %, o	 	2
 %, q	u	1
 %. A	l	2
 %. O	 	1
 %. P	a	1
 %. P	o	2
 & De	s	2
 & Yo	u	1
 'Ist	o	1
 'O S	r	1
 'nov	o	1
 'vel	h	1
 ("Fa	b	1
 ("Te	r	1
 ("de	s	1
 ("fa	b	1
 ("lo	b	4
 ("mo	r	1
 ("no	√	1
 ("op	t	2
 ("so	f	2
 (...	)	5
 (1) 	a	1
 (1) 	i	1
 (1) 	r	1
 (1).	 	1
 (120	 	1
 (124	 	2
 (138	0	1
 (141	2	1
 (151	4	1
 (17 	d	1
 (19,	1	1
 (199	2	1
 (2) 	a	2
 (2) 	e	1
 (200	4	1
 (200	6	1
 (200	7	1
 (200	9	1
 (201	1	4
 (201	4	1
 (22 	%	1
 (23 	%	1
 (23%	)	1
 (23,	1	1
 (28 	8	1
 (3 0	0	1
 (3) 	a	1
 (32%	)	1
 (34%	)	1
 (44 	p	1
 (48 	%	1
 (50 	0	1
 (700	 	1
 (7PQ	)	1
 (8,3	%	1
 (9,9	%	1
 (A P	A	1
 (AAE	C	1
 (ABE	)	4
 (ABS	A	1
 (ACL	)	3
 (ACP	-	1
 (ACP	P	2
 (ADD	)	1
 (AEA	)	1
 (AEC	L	1
 (AEC	T	4
 (AEP	)	1
 (AES	A	4
 (AES	M	1
 (AFC	O	2
 (AFE	)	1
 (AI)	 	4
 (AIA	)	2
 (AIE	A	5
 (ANC	)	2
 (AP)	,	1
 (APD	)	5
 (APG	)	1
 (APP	)	3
 (AVN	O	1
 (Aco	r	2
 (Act	o	1
 (Ago	r	1
 (Ag√	™	1
 (Aju	d	1
 (Alu	d	1
 (And	r	1
 (Apl	i	1
 (Art	i	1
 (Aut	o	1
 (B7-	0	5
 (BCE	)	5
 (BEI	)	3
 (BER	D	1
 (BRI	C	1
 (BUD	)	1
 (Bat	t	3
 (Bra	s	1
 (Bul	g	1
 (B√©	l	1
 (C7-	0	1
 (CAI	)	2
 (CCO	)	2
 (CE)	 	52
 (CE)	,	1
 (CEB	S	1
 (CED	E	2
 (CEE	)	9
 (CEE	/	1
 (CEI	)	1
 (CEP	I	2
 (CEP	O	1
 (CES	)	1
 (CES	E	1
 (CET	A	4
 (COM	(	1
 (CPA	)	1
 (CPS	)	1
 (Cen	t	1
 (Cor	e	1
 (D&I	)	1
 (DOP	)	2
 (DPI	)	1
 (Dei	 	1
 (Dem	o	33
 (Dep	a	1
 (Dir	-	1
 (EAP	I	1
 (ECD	C	1
 (ECO	F	1
 (ECR	)	1
 (EFF	I	1
 (EGN	O	3
 (EHE	C	1
 (EIO	P	1
 (EMA	)	1
 (EME	A	1
 (EN)	 	1
 (ENS	R	3
 (EPS	C	1
 (ESM	A	2
 (ESR	B	1
 (ESV	A	1
 (ETG	)	1
 (EUM	M	1
 (EUN	I	3
 (EUR	O	1
 (Eco	f	1
 (Era	s	2
 (Eur	a	2
 (Eur	o	5
 (FAO	)	1
 (FEA	D	3
 (FED	)	1
 (FED	E	3
 (FEE	F	2
 (FEF	)	2
 (FEG	)	8
 (FEP	)	7
 (FMI	)	5
 (FSE	)	3
 (Fab	r	1
 (Fac	e	1
 (Fer	r	1
 (Fev	e	1
 (Fra	n	2
 (Fun	d	1
 (GAT	T	1
 (GFS	)	1
 (GM)	 	1
 (GME	S	1
 (GNS	S	20
 (GPS	)	2
 (Gal	i	1
 (Gru	p	1
 (I&D	&	1
 (I&D	)	3
 (I&D	T	1
 (ICC	)	5
 (ICD	)	14
 (ICI	 	1
 (IDE	)	1
 (IDE	A	1
 (IDI	)	2
 (IED	D	1
 (IEQ	V	1
 (IF)	 	4
 (IGP	)	2
 (IMC	O	1
 (ITC	)	1
 (ITE	R	1
 (ITI	E	1
 (ITR	E	3
 (Jun	h	1
 (Jus	t	1
 (LIB	E	2
 (MCV	)	1
 (MDE	)	1
 (MDP	)	1
 (MTD	)	1
 (Mar	i	1
 (Med	i	1
 (Mel	h	1
 (Mol	o	1
 (M√°	r	1
 (NAF	T	1
 (NAT	O	2
 (N√£	o	1
 (O o	r	1
 (O-0	0	1
 (OCD	E	3
 (OCM	)	1
 (ODM	)	5
 (OED	T	10
 (OGM	)	2
 (OIT	)	13
 (OIT	,	1
 (OLA	F	1
 (OMC	)	14
 (OMS	)	1
 (ONG	)	1
 (OSC	E	2
 (OSH	A	1
 (OTA	N	1
 (Obj	e	1
 (Org	a	2
 (PAC	)	9
 (PCI	)	2
 (PCS	D	3
 (PE)	 	13
 (PE)	,	5
 (PE,	 	1
 (PEC	)	3
 (PES	C	12
 (PFN	)	1
 (PIB	)	6
 (PME	)	21
 (PQ7	)	11
 (PSE	)	1
 (PTU	)	1
 (PVV	)	1
 (Par	l	3
 (Par	t	1
 (Per	s	1
 (Por	t	1
 (Pos	s	1
 (Pro	g	2
 (QFP	)	23
 (Qua	r	1
 (Qui	t	5
 (RAM	)	4
 (RAS	F	2
 (REE	E	1
 (REI	T	4
 (RFI	D	1
 (RNB	)	4
 (RPU	S	1
 (RSE	)	3
 (RSF	F	1
 (RTE	-	6
 (RUP	)	1
 (Raj	o	1
 (Reg	u	1
 (Rel	a	1
 (R√∫	s	1
 (SAD	C	2
 (SBA	)	2
 (SCH	-	1
 (SEA	E	11
 (SEC	(	8
 (SIS	 	1
 (SIS	)	3
 (SPG	)	1
 (STI	)	2
 (SUR	E	2
 (SV)	 	1
 (Sec	√	1
 (Ser	v	9
 (Sey	c	1
 (Sis	t	2
 (T&V	)	1
 (TBI	)	1
 (TFU	E	6
 (TPI	)	1
 (TRA	N	1
 (T√≠	t	1
 (UE 	2	1
 (UE 	e	2
 (UE)	 	10
 (UE)	,	4
 (UE)	.	12
 (UE,	 	1
 (UEM	)	1
 (UEO	)	1
 (UKI	P	2
 (UNH	C	1
 (UNM	I	1
 (Uni	√	1
 (Urg	e	1
 (VAE	)	1
 (VP/	A	1
 (Ver	s	1
 (WEN	R	1
 (WWW	)	1
 (a A	u	1
 (a D	i	1
 (a E	u	1
 (a M	a	1
 (a U	E	1
 (a n	√	1
 (a p	r	2
 (a q	u	1
 (a s	o	2
 (a s	u	1
 (a √	∫	1
 (act	u	3
 (ada	p	1
 (afo	r	1
 (ain	d	1
 (ale	m	1
 (alt	e	1
 (aqu	i	2
 (art	i	6
 (as 	c	1
 (atr	a	1
 (at√	©	1
 (aud	i	1
 (aum	e	4
 (bic	i	1
 (bre	v	1
 (can	√	1
 (cer	c	1
 (cod	i	1
 (com	 	3
 (com	o	8
 (com	p	1
 (con	g	1
 (con	t	5
 (con	v	3
 (cre	s	1
 (cri	a	1
 (cuj	a	1
 (dan	d	2
 (de 	5	1
 (de 	c	2
 (de 	n	1
 (de 	q	1
 (deb	a	9
 (dec	i	1
 (dec	l	2
 (def	i	1
 (dem	o	1
 (dep	o	1
 (des	d	1
 (des	i	1
 (des	t	2
 (dia	g	1
 (dim	i	1
 (dos	 	1
 (e G	a	2
 (e b	e	1
 (e d	a	1
 (e d	e	1
 (e e	u	1
 (e i	n	1
 (e n	√	2
 (e n	o	1
 (e p	l	1
 (e s	e	1
 (e t	e	1
 (e √	©	1
 (e, 	n	1
 (e-s	k	1
 (e.g	.	1
 (em 	1	1
 (em 	2	1
 (em 	J	1
 (em 	P	2
 (em 	e	2
 (em 	p	5
 (em 	q	2
 (em 	t	1
 (emb	o	1
 (emp	r	2
 (ent	r	5
 (env	e	2
 (esp	a	1
 (est	e	1
 (eur	o	2
 (ex 	a	1
 (ex 	p	1
 (fem	t	1
 (fon	t	1
 (fun	d	1
 (glo	b	1
 (hig	i	2
 (i) 	u	1
 (ida	d	1
 (ii)	 	1
 (iii	)	1
 (imp	o	1
 (imp	r	1
 (inc	l	3
 (ind	i	1
 (ins	t	2
 (int	e	1
 (ise	n	1
 (ist	o	2
 (j√°	 	1
 (lim	i	3
 (lin	g	1
 (lob	b	1
 (mai	s	1
 (mar	c	1
 (mas	 	1
 (med	i	1
 (mel	h	1
 (mer	c	1
 (mes	m	1
 (mit	i	1
 (mod	o	1
 (n.¬	∫	2
 (na 	E	1
 (na 	p	1
 (nav	e	1
 (nem	 	1
 (no 	n	1
 (no 	p	1
 (no 	q	1
 (nom	e	3
 (nov	a	1
 (n√£	o	3
 (o E	G	1
 (o G	a	1
 (o c	o	1
 (o e	n	1
 (o n	√	1
 (o r	e	2
 (one	-	2
 (os 	E	1
 (os 	s	1
 (ou 	d	1
 (ou 	f	1
 (ou 	m	2
 (ou 	s	2
 (ou 	v	1
 (par	a	1
 (par	t	2
 (pas	s	1
 (pel	e	1
 (pen	s	1
 (per	s	1
 (pes	s	1
 (pha	s	2
 (pob	r	1
 (pol	√	1
 (pol	u	2
 (pon	t	2
 (por	 	9
 (por	q	1
 (pre	d	1
 (pre	v	1
 (pri	n	1
 (pro	d	5
 (pro	m	3
 (pro	p	1
 (pro	t	4
 (que	 	6
 (rad	i	1
 (rec	e	1
 (rec	o	1
 (red	e	1
 (ref	i	1
 (rel	a	1
 (reu	n	1
 (rod	o	1
 (san	√	2
 (se 	b	1
 (seg	u	2
 (sej	a	2
 (sem	i	1
 (ser	√	1
 (ser	v	1
 (sig	n	1
 (sin	d	1
 (sis	t	4
 (sob	 	1
 (sob	r	3
 (sub	p	1
 (sup	e	1
 (tam	b	3
 (tan	t	1
 (tem	p	1
 (ten	d	1
 (ter	r	1
 (tex	t	12
 (tit	u	1
 (tod	o	3
 (uma	 	2
 (una	n	1
 (vac	i	1
 (vai	 	1
 (ven	d	1
 (ver	 	1
 (vol	f	1
 (vot	a	1
 (zon	a	1
 (√† 	√	1
 (√°g	u	1
 + no	 	1
 +) p	o	1
 +), 	m	1
 +. P	o	1
 ,do 	r	1
 - "N	√	1
 - "N	e	1
 - "U	m	1
 - "e	m	1
 - "p	r	1
 - "s	e	1
 - (R	e	1
 - 20	 	1
 - 20	0	1
 - 20	1	3
 - 27	 	1
 - 40	 	1
 - 5 	8	1
 - 63	 	1
 - 97	%	1
 - A 	U	1
 - Ag	e	2
 - Al	e	1
 - Al	t	1
 - Am	i	1
 - Ap	l	2
 - Ap	o	1
 - Ap	r	1
 - As	 	1
 - B7	-	11
 - Ba	l	1
 - C7	-	19
 - Co	m	2
 - Co	n	1
 - De	s	2
 - Di	r	2
 - Ef	i	2
 - Eg	i	1
 - Es	q	3
 - Es	t	1
 - Eu	r	2
 - Ex	e	2
 - Lu	b	1
 - Me	d	11
 - No	v	1
 - Ob	j	3
 - Ol	l	1
 - Op	e	1
 - Pa	r	5
 - Pr	o	1
 - RE	I	1
 - Re	l	1
 - Re	q	2
 - Ru	m	1
 - Sa	r	1
 - Se	n	2
 - Si	t	1
 - Su	p	4
 - Tr	a	1
 - Um	 	1
 - V.	 	1
 - a 	√	1
 - a 	B	1
 - a 	C	8
 - a 	F	1
 - a 	G	1
 - a 	I	2
 - a 	M	1
 - a 	P	1
 - a 	R	1
 - a 	U	4
 - a 	a	6
 - a 	b	1
 - a 	c	7
 - a 	d	5
 - a 	e	2
 - a 	f	2
 - a 	g	1
 - a 	i	6
 - a 	l	2
 - a 	m	2
 - a 	n	3
 - a 	o	1
 - a 	p	10
 - a 	q	5
 - a 	s	9
 - a 	u	3
 - ab	s	1
 - ac	a	1
 - ac	t	1
 - ad	i	1
 - ad	o	1
 - ag	r	1
 - ai	n	4
 - al	g	9
 - al	i	2
 - am	b	1
 - an	t	1
 - ao	 	4
 - ao	s	1
 - ap	√	1
 - ap	e	5
 - ap	o	1
 - ap	r	3
 - ap	u	1
 - aq	u	4
 - as	 	8
 - as	p	1
 - as	s	5
 - at	√	2
 - at	r	3
 - au	m	1
 - ba	n	1
 - ba	s	1
 - be	m	2
 - bo	a	1
 - ca	s	1
 - ca	u	1
 - ce	r	2
 - ch	e	1
 - co	b	3
 - co	m	54
 - co	n	23
 - cr	√	1
 - cr	e	2
 - cr	i	2
 - cu	i	1
 - cu	j	4
 - cu	m	1
 - cu	s	2
 - da	 	2
 - da	s	1
 - de	 	23
 - de	b	1
 - de	c	2
 - de	l	1
 - de	m	1
 - de	r	1
 - de	s	11
 - de	v	14
 - di	g	1
 - di	n	1
 - di	r	3
 - di	s	2
 - do	 	6
 - do	m	1
 - do	s	3
 - do	u	1
 - e 	√	6
 - e 	V	1
 - e 	a	23
 - e 	c	11
 - e 	d	21
 - e 	e	22
 - e 	f	6
 - e 	g	5
 - e 	h	1
 - e 	i	11
 - e 	l	2
 - e 	n	9
 - e 	o	11
 - e 	p	11
 - e 	q	8
 - e 	r	3
 - e 	s	7
 - e 	t	10
 - e 	u	3
 - e 	v	2
 - e,	 	21
 - el	a	1
 - em	 	23
 - em	b	2
 - em	i	1
 - em	p	1
 - en	q	5
 - en	t	7
 - er	a	2
 - es	c	1
 - es	p	6
 - es	s	5
 - es	t	15
 - eu	 	2
 - ex	c	1
 - ex	i	3
 - ex	p	3
 - fa	c	2
 - fa	l	3
 - fa	z	2
 - fe	i	1
 - fe	l	1
 - fi	c	1
 - fi	n	1
 - fi	x	1
 - fo	i	7
 - fo	r	5
 - fo	s	1
 - fu	g	1
 - fu	t	1
 - ge	r	1
 - go	s	1
 - gr	a	3
 - ho	j	2
 - ho	u	1
 - h√	°	1
 - im	p	7
 - in	c	15
 - in	d	2
 - in	f	1
 - in	s	3
 - in	t	3
 - in	v	3
 - is	s	1
 - is	t	4
 - j√	°	3
 - la	m	1
 - la	n	1
 - le	i	2
 - le	v	1
 - ma	i	4
 - ma	n	1
 - ma	s	13
 - me	d	3
 - me	l	1
 - me	n	1
 - me	r	1
 - me	s	1
 - mi	g	1
 - mi	l	1
 - mo	t	1
 - mu	i	5
 - na	 	8
 - na	c	1
 - na	s	2
 - na	v	1
 - ne	c	1
 - ne	m	3
 - ne	n	3
 - ne	s	3
 - ni	n	1
 - no	 	5
 - no	m	7
 - no	s	4
 - no	v	2
 - nu	m	3
 - nu	n	1
 - n√	£	36
 - o 	A	1
 - o 	C	1
 - o 	M	1
 - o 	P	2
 - o 	S	1
 - o 	T	1
 - o 	a	1
 - o 	c	5
 - o 	d	5
 - o 	e	2
 - o 	f	2
 - o 	m	4
 - o 	p	7
 - o 	q	16
 - o 	r	3
 - o 	s	7
 - ob	j	2
 - of	e	1
 - ol	h	1
 - on	d	2
 - op	√	1
 - op	o	1
 - or	a	1
 - or	i	1
 - os	 	14
 - ou	 	21
 - ou	,	4
 - ou	t	2
 - pa	l	1
 - pa	r	27
 - pe	l	8
 - pe	n	2
 - pe	q	1
 - pe	r	2
 - pi	o	1
 - po	d	6
 - po	i	5
 - po	n	1
 - po	r	28
 - po	s	5
 - po	t	1
 - pr	e	4
 - pr	i	3
 - pr	o	5
 - qu	a	9
 - qu	e	100
 - re	c	1
 - re	f	2
 - re	g	1
 - re	l	2
 - re	p	4
 - re	v	1
 - ri	g	1
 - ro	t	1
 - sa	√	1
 - sa	b	1
 - sa	l	1
 - sa	t	1
 - se	 	13
 - se	,	1
 - se	g	2
 - se	j	6
 - se	m	9
 - se	n	3
 - se	r	7
 - si	g	1
 - si	m	2
 - si	n	2
 - si	s	1
 - so	b	7
 - so	l	1
 - su	b	3
 - su	f	1
 - su	g	1
 - s√	£	9
 - s√	≥	2
 - ta	l	8
 - ta	m	4
 - ta	n	2
 - ta	x	1
 - te	m	9
 - te	n	6
 - te	r	3
 - ti	v	1
 - to	d	7
 - to	m	1
 - tr	a	4
 - t√	™	3
 - um	 	28
 - um	a	22
 - un	i	1
 - us	o	1
 - ut	i	2
 - va	i	1
 - va	l	1
 - ve	j	2
 - ve	n	1
 - ve	r	1
 - vi	 	1
 - vi	m	1
 - vi	v	1
 - vo	t	3
 - v√	°	1
 - √†	 	4
 - √©	 	31
 - √©	,	1
 -, a	 	4
 -, a	i	1
 -, a	l	1
 -, b	e	3
 -, c	r	2
 -, d	a	1
 -, d	e	1
 -, e	 	9
 -, e	d	2
 -, e	m	1
 -, e	n	2
 -, e	s	1
 -, e	u	1
 -, g	o	2
 -, i	n	1
 -, i	s	1
 -, m	a	9
 -, n	a	1
 -, o	 	1
 -, o	n	1
 -, o	s	2
 -, o	u	1
 -, p	√	1
 -, p	a	3
 -, p	e	1
 -, p	o	2
 -, p	r	1
 -, q	u	16
 -, r	a	1
 -, s	e	4
 -, s	o	1
 -, t	a	1
 -, t	e	4
 -, t	o	4
 -, t	r	1
 -, v	a	1
 -, v	o	1
 -, √	†	1
 -.Se	g	3
 -.do	 	1
 -; c	o	1
 -;do	 	10
 -da 	d	1
 -da 	p	1
 -do 	d	1
 . S√	≥	1
 ... 	M	1
 ..."	.	1
 0 e 	1	1
 0, I	,	1
 0,1%	 	1
 0,2%	 	1
 0,48	%	1
 0,5%	 	1
 0,55	%	1
 0,7%	 	6
 0,8%	 	1
 000 	-	1
 000 	M	2
 000 	P	1
 000 	T	2
 000 	a	2
 000 	c	7
 000 	d	4
 000 	e	25
 000 	h	6
 000 	k	3
 000 	l	3
 000 	m	5
 000 	n	1
 000 	o	1
 000 	p	32
 000 	q	2
 000 	r	8
 000 	s	1
 000 	t	10
 000)	 	1
 000,	 	1
 000.	¬	1
 000.	O	1
 000.	S	1
 0010	/	1
 0014	/	1
 047 	5	1
 07h0	0	1
 1 % 	d	1
 1 (c	o	2
 1 - 	e	1
 1 - 	o	1
 1 00	0	7
 1 10	0	1
 1 20	0	6
 1 30	0	1
 1 49	8	1
 1 60	0	2
 1 67	2	1
 1 70	0	3
 1 80	0	2
 1 90	0	2
 1 Gb	 	1
 1 a 	1	1
 1 an	o	1
 1 ao	 	1
 1 da	 	1
 1 de	 	28
 1 do	 	3
 1 d√	≥	1
 1 e 	2	1
 1 e 	4	1
 1 e 	n	1
 1 eu	r	3
 1 me	r	1
 1 mi	l	2
 1 m√	™	1
 1 pa	r	1
 1 po	r	1
 1 po	s	1
 1 qu	e	1
 1 re	l	1
 1 so	b	1
 1% (	1	1
 1% [	P	1
 1% a	o	1
 1% d	a	1
 1% d	o	3
 1%. 	O	1
 1%. 	T	1
 1%.P	a	1
 1) A	 	1
 1) O	 	2
 1) a	 	2
 1) a	s	1
 1) i	n	1
 1) o	 	1
 1, 2	 	2
 1, 2	,	1
 1, d	o	1
 1, n	o	1
 1, p	a	1
 1, q	u	1
 1, t	u	1
 1,06	 	2
 1,11	 	2
 1,2 	e	1
 1,25	 	1
 1,3 	m	2
 1,4%	 	1
 1,5 	G	1
 1,5 	m	1
 1,7 	m	1
 1. A	s	2
 1. E	s	1
 1. I	s	1
 1. M	e	1
 1. T	a	1
 1.De	v	1
 1.¬™	 	1
 1.¬∫	 	1
 10 %	 	8
 10 %	,	2
 10 %	.	1
 10 0	0	3
 10 E	s	2
 10 a	 	1
 10 a	b	1
 10 a	n	11
 10 c	a	1
 10 d	e	7
 10 e	 	1
 10 e	u	1
 10 f	u	1
 10 h	e	1
 10 m	i	5
 10 p	r	1
 10 t	r	1
 10% 	a	1
 10% 	d	2
 10% 	e	10
 10% 	m	1
 10% 	n	1
 10%,	 	2
 10%.	 	1
 10%;	 	1
 10, 	e	1
 10, 	q	1
 10.¬	∫	3
 100 	0	7
 100 	M	2
 100 	P	1
 100 	d	3
 100 	k	1
 100 	m	5
 100%	 	4
 100%	,	5
 100%	.	3
 100.	¬	3
 100¬	™	1
 102 	m	1
 104 	m	1
 104 	n	1
 105%	 	1
 1060	/	2
 108.	¬	1
 1095	/	1
 11 d	a	1
 11 d	e	8
 11 e	 	1
 11% 	p	1
 11%,	 	1
 11, 	q	1
 11-A	,	1
 11.¬	∫	2
 110 	m	3
 113 	m	1
 115 	0	1
 115.	¬	2
 11¬∫	 	2
 12 0	0	4
 12 3	6	1
 12 E	s	3
 12 a	c	1
 12 a	n	1
 12 d	a	1
 12 d	e	11
 12 h	o	1
 12 m	e	1
 12 m	i	6
 12 n	o	1
 12 p	a	2
 12 s	e	1
 12 t	o	3
 12 √	°	1
 12) 	a	1
 12, 	q	1
 12,6	%	1
 12.¬	∫	1
 120 	e	1
 120 	m	6
 121.	¬	2
 1215	/	10
