5	0.1
 'air	 	2
 'ale	r	1
 'all	 	1
 'an 	e	2
 'an 	i	1
 'anc	h	3
 'and	 	1
 'any	 	1
 'any	b	1
 'app	r	1
 'are	 	1
 'ass	i	2
 'at 	t	1
 'att	a	1
 'bac	k	1
 'bad	'	1
 'bad	d	1
 'bar	r	1
 'beg	i	1
 'bet	t	1
 'bey	o	1
 'bla	c	1
 'bog	u	1
 'bor	d	5
 'bra	i	2
 'bra	n	2
 'buc	k	1
 'bui	l	1
 'bur	d	2
 'bus	i	2
 'by 	2	1
 'car	b	1
 'cat	c	1
 'cau	t	1
 'cen	t	2
 'cha	n	1
 'chi	c	1
 'chi	l	1
 'clo	s	1
 'coa	l	1
 'cod	e	1
 'coh	e	2
 'com	m	1
 'com	p	6
 'con	f	1
 'con	s	2
 'con	v	3
 'coo	p	1
 'cor	p	1
 'cou	n	3
 'cow	'	1
 'cre	a	3
 'cri	s	1
 'cri	t	2
 'cro	s	1
 'cul	t	5
 'de 	j	1
 'dem	o	1
 'dic	t	1
 'dig	i	1
 'dir	e	1
 'dir	t	1
 'dis	c	1
 'div	e	1
 'div	i	1
 'doe	s	1
 'don	e	1
 'dra	w	1
 'dro	w	1
 'dru	g	1
 'dur	i	2
 'dus	t	1
 'eco	l	1
 'eco	n	3
 'eff	i	1
 'eit	h	1
 'emp	l	4
 'enc	o	2
 'ene	r	2
 'ent	i	1
 'ent	r	2
 'env	i	2
 'equ	a	1
 'equ	i	1
 'eth	n	1
 'eve	r	1
 'exc	e	5
 'exc	l	1
 'exi	s	1
 'ext	r	1
 'fac	i	1
 'fai	l	1
 'fai	r	1
 'fas	h	1
 'fla	g	2
 'fle	x	2
 'for	e	1
 'fre	e	2
 'fro	m	1
 'ful	l	2
 'fun	d	1
 'fur	t	1
 'gen	d	1
 'gen	t	3
 'gol	d	2
 'goo	d	3
 'gov	e	1
 'gra	n	1
 'gre	e	3
 'gua	r	2
 'har	m	2
 'has	 	1
 'hea	d	1
 'her	d	1
 'his	t	2
 'how	 	1
 'hum	a	2
 'if 	y	1
 'if'	,	1
 'imm	e	2
 'imm	i	1
 'imp	o	2
 'in 	c	1
 'in 	f	16
 'in 	r	1
 'in 	t	1
 'inc	o	1
 'ind	u	1
 'inf	o	2
 'inn	o	2
 'int	e	9
 'inv	e	1
 'is'	 	1
 'joi	n	1
 'lab	o	3
 'leg	a	2
 'leg	i	2
 'les	s	1
 'lib	e	3
 'lif	e	2
 'liv	i	2
 'lob	b	2
 'mad	 	1
 'mad	e	3
 'mai	n	1
 'maj	o	1
 'mak	e	1
 'man	n	1
 'mar	k	2
 'mas	s	1
 'mat	e	1
 'may	b	1
 'mem	o	1
 'mon	e	1
 'mor	a	1
 'mor	e	5
 'mos	t	1
 'mus	t	1
 'mut	u	1
 'nam	i	2
 'nan	o	1
 'nat	i	2
 'nee	d	2
 'neg	a	9
 'net	 	1
 'nev	e	1
 'new	 	1
 'new	'	2
 'no 	n	1
 'no'	 	7
 'no'	?	1
 'no'	s	1
 'non	-	2
 'nor	m	1
 'not	 	1
 'now	 	1
 'now	'	1
 'obl	i	1
 'of 	t	1
 'old	 	1
 'old	'	2
 'one	 	4
 'one	-	5
 'onl	y	4
 'ope	n	1
 'our	 	1
 'ove	r	1
 'own	 	3
 'own	-	1
 'par	k	1
 'par	t	3
 'pat	r	1
 'pea	c	1
 'pen	a	1
 'pha	s	1
 'pol	l	36
 'poo	r	1
 'pop	u	1
 'por	t	1
 'pos	i	1
 'pos	s	2
 'pre	p	3
 'pre	v	1
 'pro	c	1
 'pro	d	1
 'pro	g	1
 'pro	j	1
 'pro	t	3
 'pru	d	1
 'qua	l	1
 'que	s	1
 'rea	l	1
 'rea	p	1
 'rec	o	1
 'ref	o	1
 'reg	r	2
 'reg	u	3
 'rel	a	1
 'ren	o	1
 'req	u	1
 'rig	h	1
 'roc	k	1
 'saf	e	1
 'sat	i	1
 'sav	i	1
 'sco	p	1
 'scr	e	1
 'sec	u	1
 'sel	l	1
 'sha	d	1
 'sha	l	1
 'sho	w	1
 'sim	p	1
 'six	 	2
 'six	-	6
 'sma	r	1
 'soc	i	1
 'sof	t	3
 'sou	n	1
 'spe	c	2
 'sta	n	1
 'sti	l	1
 'sto	p	1
 'str	o	1
 'stu	p	1
 'sub	p	1
 'sum	m	1
 'sun	s	1
 'sup	e	2
 'sup	p	1
 'tak	e	1
 'tak	i	1
 'tax	 	1
 'ter	r	11
 'tha	t	2
 'the	 	24
 'the	r	1
 'thi	n	5
 'thr	e	1
 'to 	d	1
 'to 	e	2
 'to 	g	3
 'to 	i	1
 'to 	t	2
 'too	l	3
 'too	t	1
 'tra	d	1
 'tra	n	8
 'tra	v	1
 'tro	i	1
 'uni	t	2
 'unl	i	1
 'unl	o	3
 'upd	a	1
 'urb	a	1
 'urg	e	3
 'us'	,	1
 'use	r	1
 'ver	y	3
 'vir	t	1
 'vol	u	1
 'we 	d	1
 'we 	h	1
 'we 	n	1
 'we 	w	1
 'wea	k	1
 'wel	c	3
 'wel	l	3
 'whe	n	2
 'whe	r	2
 'wil	l	2
 'wor	k	1
 'wor	l	1
 'yes	'	5
 'yes	,	1
 'zer	o	1
 'ŒïŒ	≥	1
 ("ea	c	1
 ("th	e	1
 ('Ma	d	1
 ('To	r	1
 ('di	s	1
 ('no	t	2
 (...	)	10
 (1) 	c	1
 (1) 	t	2
 (1) 	w	1
 (10 	a	1
 (100	5	1
 (138	0	1
 (141	2	1
 (15%	)	1
 (151	4	1
 (155	 	1
 (19 	%	1
 (19.	1	1
 (199	2	1
 (2) 	a	1
 (2) 	c	1
 (2) 	i	1
 (2) 	o	1
 (2) 	t	2
 (200	7	1
 (200	9	6
 (201	1	5
 (201	4	4
 (21%	)	1
 (22%	)	1
 (23%	 	1
 (23%	)	1
 (23.	1	1
 (24 	J	1
 (27 	y	1
 (3) 	c	1
 (3) 	i	1
 (3) 	t	1
 (302	)	1
 (32%	)	1
 (34%	)	1
 (377	 	1
 (4) 	s	1
 (4),	 	1
 (49 	i	1
 (5) 	t	1
 (50 	0	1
 (568	 	1
 (6) 	a	1
 (60%	)	1
 (70 	k	1
 (741	 	1
 (8))	(	1
 (8.3	%	1
 (9.9	%	1
 (A E	u	1
 (ACP	)	3
 (ACP	P	2
 (AFC	O	1
 (AGR	I	1
 (ALD	E	1
 (AMR	)	9
 (ASE	A	1
 (AVN	O	1
 (Afr	i	2
 (Amn	e	1
 (And	r	1
 (Ano	t	1
 (Are	 	1
 (Art	.	1
 (Art	i	5
 (B2B	)	1
 (B2C	)	1
 (B7-	0	3
 (BAS	A	1
 (BAT	)	1
 (BIT	S	1
 (BIT	s	5
 (BNP	)	1
 (BRI	C	1
 (BUD	)	1
 (Bel	g	1
 (Bra	z	1
 (Bud	g	1
 (C7-	0	1
 (CAP	)	19
 (CCI	s	11
 (CCO	)	2
 (CDU	)	1
 (CEB	S	1
 (CEP	O	1
 (CET	A	3
 (CFC	A	1
 (CFP	)	2
 (CFS	P	16
 (CIP	)	2
 (CMO	)	1
 (COM	(	2
 (CPA	)	2
 (CRA	s	13
 (CSD	P	9
 (CSR	)	3
 (Ced	e	2
 (Chr	i	37
 (CoR	)	1
 (Com	m	3
 (Con	s	1
 (DCI	)	15
 (DDA	)	1
 (DEM	O	1
 (Dem	o	1
 (Due	 	1
 (EAF	R	7
 (EAS	A	1
 (EAV	)	1
 (EAW	)	3
 (EBA	)	4
 (EBR	D	1
 (EC)	 	47
 (ECB	)	15
 (ECD	C	2
 (ECE	C	3
 (ECR	F	1
 (EDF	)	4
 (EDF	s	1
 (EDP	S	1
 (EEA	S	12
 (EEC	)	9
 (EES	C	2
 (EEZ	)	1
 (EFF	)	11
 (EFF	I	1
 (EFS	A	4
 (EFS	F	1
 (EFT	A	1
 (EGF	)	11
 (EGN	O	16
 (EGT	C	7
 (EHE	C	1
 (EIA	)	1
 (EIB	)	3
 (EID	H	2
 (EIO	P	1
 (EIT	)	1
 (EIT	I	1
 (EMA	)	1
 (EMC	D	18
 (EME	A	1
 (EMS	A	2
 (ENI	S	1
 (ENP	)	1
 (ENP	I	1
 (ENS	R	2
 (EOD	A	2
 (EOP	A	2
 (EP)	 	1
 (EQL	S	1
 (ERA	)	5
 (ERC	)	1
 (ERD	F	10
 (ESF	)	8
 (ESM	A	2
 (ESR	B	1
 (ETF	)	3
 (ETS	)	1
 (EU 	a	2
 (EU)	 	2
 (EU,	 	1
 (EUM	M	1
 (EUN	I	1
 (EUR	 	5
 (EUR	O	1
 (Eco	f	1
 (Enh	a	1
 (Era	s	1
 (Eur	a	3
 (Eur	o	14
 (Exc	i	1
 (Exi	s	1
 (FAO	)	6
 (FBI	s	1
 (FDI	)	1
 (FOC	)	1
 (FP7	 	1
 (FP7	)	17
 (FPA	)	5
 (FRO	N	1
 (FTA	)	12
 (FTT	)	1
 (FYR	O	1
 (Feb	r	1
 (Fer	r	1
 (Fiv	e	1
 (Fra	n	2
 (Fre	n	1
 (Fro	n	1
 (GAT	T	1
 (GDP	)	28
 (GM)	 	1
 (GME	S	1
 (GMO	s	2
 (GNI	)	4
 (GNS	S	18
 (GPA	)	1
 (GPS	)	7
 (GSP	)	2
 (Gal	i	2
 (Gen	e	1
 (Glo	b	1
 (HUS	)	1
 (I a	m	2
 (I m	y	1
 (IAB	)	2
 (IAC	)	1
 (IAE	A	4
 (IAS	)	6
 (IAs	)	9
 (ICC	)	1
 (ICI	+	1
 (ICT	 	1
 (ICT	)	1
 (IFM	I	1
 (ILO	)	24
 (ILO	,	1
 (IMC	O	1
 (IMF	)	13
 (IMF	-	1
 (IPO	A	1
 (IPR	)	2
 (ITE	R	3
 (ITR	E	3
 (ITS	)	1
 (ITS	s	1
 (IUU	)	8
 (Imp	l	1
 (Inc	r	1
 (Ind	u	1
 (Int	e	2
 (JPA	)	1
 (JTI	)	1
 (JTI	s	2
 (Jas	p	1
 (Jer	e	1
 (Jes	s	1
 (Joi	n	1
 (Jun	e	1
 (KPI	)	1
 (Kar	a	1
 (L s	e	1
 (LIB	E	2
 (LIC	R	2
 (LTT	E	1
 (MDG	)	3
 (MDG	s	5
 (MDP	)	1
 (MFA	)	1
 (MFF	)	32
 (Mob	i	1
 (Mol	o	1
 (Mr 	B	1
 (Mr 	M	1
 (NAF	T	1
 (NAT	O	13
 (NFP	s	2
 (NGO	s	1
 (NPT	)	1
 (NTB	s	2
 (No 	1	1
 (O-0	0	1
 (OCT	)	2
 (OCT	s	2
 (ODA	)	7
 (OEC	D	5
 (OF/	2	1
 (OI)	 	4
 (OLA	F	7
 (OSC	E	4
 (OSH	A	1
 (Obj	e	1
 (Off	i	1
 (P.A	.	1
 (PDO	)	2
 (PDO	s	1
 (PGI	)	2
 (PGI	s	1
 (PMS	)	1
 (PP)	 	1
 (PSO	E	1
 (PWR	s	1
 (Por	t	1
 (Pre	s	1
 (Pre	v	1
 (Pro	p	1
 (Pro	s	1
 (R&D	&	2
 (R&T	D	2
 (RDI	)	2
 (REI	T	7
 (RFI	D	1
 (RFM	O	1
 (RSP	P	1
 (Rec	e	1
 (Reg	u	1
 (Req	u	1
 (Rus	s	1
 (S&D	)	2
 (SAA	s	1
 (SAD	C	2
 (SAP	S	1
 (SBA	)	9
 (SEA	E	1
 (SEC	(	14
 (SFM	)	2
 (SGP	)	3
 (SIS	 	1
 (SIS	)	8
 (SME	)	4
 (SME	s	43
 (SPS	)	1
 (STI	)	1
 (SUR	E	2
 (Sec	t	1
 (TAC	s	1
 (TEN	-	5
 (TEN	s	1
 (TEU	)	1
 (TFE	U	17
 (TSG	)	1
 (TSG	s	1
 (The	 	3
 (Tit	l	1
 (Tob	i	1
 (Tra	n	1
 (Tun	i	1
 (UN)	 	7
 (UN)	,	3
 (UN)	.	1
 (UN/	E	1
 (UNH	C	2
 (Uni	t	1
 (VET	)	1
 (VP/	H	2
 (WEE	E	1
 (WEN	R	1
 (WEU	)	1
 (WHO	)	1
 (WTO	)	25
 (WWF	)	1
 (Wor	l	1
 (YoM	)	3
 (a l	i	1
 (a) 	f	1
 (ada	p	1
 (aga	i	2
 (age	i	3
 (air	,	1
 (alb	e	1
 (all	 	1
 (all	e	2
 (als	o	1
 (alt	h	1
 (and	 	14
 (and	,	1
 (app	o	1
 (as 	f	1
 (as 	i	2
 (as 	l	1
 (ave	r	1
 (b) 	f	1
 (bec	a	1
 (bes	i	1
 (bet	w	1
 (bus	i	1
 (chi	e	1
 (cli	m	1
 (cod	i	5
 (com	p	1
 (con	c	1
 (con	t	6
 (con	v	1
 (cos	t	1
 (cur	r	2
 (dat	a	3
 (dea	l	1
 (deb	a	10
 (dec	i	1
 (dep	o	1
 (dom	e	1
 (eit	h	1
 (eng	a	1
 (esp	e	2
 (eth	a	1
 (eve	n	1
 (ex 	a	1
 (ex 	p	1
 (exe	m	1
 (fin	a	3
 (for	 	11
 (for	m	1
 (fos	t	2
 (fro	m	3
 (fur	 	1
 (giv	e	1
 (glo	b	1
 (gro	s	2
 (gro	w	1
 (hyg	i	1
 (i) 	a	1
 (i.e	.	1
 (ii)	 	1
 (iii	)	1
 (imp	r	1
 (in 	C	1
 (in 	b	1
 (in 	o	1
 (in 	p	3
 (inc	l	3
 (inc	r	3
 (int	o	1
 (lan	d	1
 (leg	a	1
 (let	 	1
 (lim	i	1
 (mai	n	2
 (max	i	1
 (mis	)	1
 (mit	i	1
 (mod	e	1
 (mor	e	3
 (mot	i	1
 (mou	n	1
 (not	 	2
 (not	a	1
 (of 	E	1
 (of 	w	1
 (on 	1	1
 (onc	e	1
 (opt	-	1
 (or 	f	1
 (or 	w	1
 (or,	 	1
 (par	a	19
 (par	t	2
 (peo	p	1
 (pla	i	1
 (poi	n	3
 (pol	i	1
 (poo	l	1
 (pre	-	1
 (pro	p	1
 (pro	t	1
 (quo	t	1
 (rap	p	1
 (reg	i	1
 (rem	e	1
 (rev	i	1
 (roa	d	2
 (sal	e	1
 (san	c	1
 (sem	i	1
 (ser	v	1
 (sho	r	2
 (sig	n	1
 (soc	i	1
 (sou	r	1
 (spl	i	1
 (suc	h	5
 (sup	e	1
 (tem	p	1
 (ter	r	1
 (tha	t	4
 (the	 	14
 (thr	e	1
 (thr	o	1
 (tow	n	1
 (tra	d	1
 (tra	n	1
 (twi	c	1
 (una	n	1
 (up 	t	2
 (vac	c	1
 (via	 	1
 (vis	a	1
 (wat	e	1
 (we 	a	1
 (we 	h	1
 (wha	t	1
 (whe	n	2
 (whe	r	1
 (whi	c	5
 (who	 	1
 (wit	h	3
 (Œë7	-	1
 (Œü-	0	1
 + 2 	f	1
 ,whi	c	1
 - 'A	 	1
 - 'D	o	1
 - 'N	o	1
 - 'S	t	1
 - 'a	 	1
 - (r	a	1
 - 15	%	1
 - 17	%	1
 - 20	 	1
 - 20	1	3
 - 27	 	1
 - 50	 	1
 - 58	0	1
 - 60	 	1
 - 97	%	1
 - An	n	1
 - At	 	1
 - B7	-	14
 - Ba	r	1
 - Be	l	1
 - Bu	d	2
 - C7	-	23
 - CE	P	1
 - Co	m	3
 - Co	u	3
 - Cu	l	1
 - De	v	1
 - ED	F	1
 - EU	R	2
 - Ea	r	1
 - Eg	y	2
 - En	f	2
 - Eu	r	6
 - Ga	l	1
 - Gr	e	2
 - Hu	n	1
 - I 	a	11
 - I 	b	2
 - I 	c	2
 - I 	d	3
 - I 	f	1
 - I 	h	4
 - I 	i	1
 - I 	k	1
 - I 	l	1
 - I 	m	3
 - I 	r	4
 - I 	s	5
 - I 	t	4
 - I 	u	1
 - I 	v	1
 - I 	w	8
 - Im	p	4
 - In	c	2
 - It	a	2
 - Me	a	10
 - Me	m	1
 - Mr	 	5
 - Mr	s	2
 - Na	s	1
 - No	r	9
 - No	v	2
 - Ob	j	3
 - Op	e	1
 - Ou	r	1
 - Pa	r	2
 - Pr	e	1
 - R&	D	1
 - Re	p	6
 - Re	q	2
 - Ro	m	1
 - Ru	l	1
 - Sa	r	1
 - Si	t	1
 - So	u	1
 - Sp	a	1
 - Su	r	2
 - Th	e	1
 - To	w	1
 - Un	l	1
 - Yo	u	2
 - a 	E	2
 - a 	c	7
 - a 	d	3
 - a 	f	5
 - a 	k	1
 - a 	l	3
 - a 	m	3
 - a 	n	1
 - a 	p	3
 - a 	r	3
 - a 	s	3
 - a 	v	3
 - a 	w	2
 - ab	o	2
 - ad	e	1
 - ad	m	1
 - ad	o	1
 - af	t	1
 - ag	a	2
 - ai	m	1
 - al	l	9
 - al	m	2
 - al	r	2
 - al	s	1
 - al	t	2
 - al	w	1
 - am	 	1
 - am	o	1
 - an	 	8
 - an	d	237
 - an	o	2
 - ar	e	23
 - ar	i	1
 - ar	r	1
 - as	 	56
 - as	,	1
 - as	k	1
 - at	 	12
 - at	r	1
 - ba	s	2
 - be	 	2
 - be	c	14
 - be	f	1
 - be	h	1
 - be	t	3
 - bo	t	3
 - br	i	1
 - bu	r	1
 - bu	t	31
 - by	 	13
 - ca	n	6
 - ca	s	1
 - ca	u	2
 - ch	i	1
 - co	m	3
 - co	n	3
 - co	u	3
 - cr	e	2
 - cr	i	2
 - cr	o	1
 - cu	l	1
 - cu	r	2
 - cu	s	1
 - da	i	1
 - da	t	1
 - de	l	3
 - de	m	3
 - de	p	1
 - di	d	1
 - di	s	1
 - do	e	6
 - dr	e	1
 - ea	r	2
 - ea	s	1
 - ec	o	1
 - es	p	5
 - eu	r	1
 - ev	e	5
 - ex	c	1
 - ex	p	2
 - fa	r	2
 - fi	n	1
 - fo	l	1
 - fo	r	24
 - fo	u	1
 - fr	e	1
 - fr	o	7
 - fu	r	1
 - go	o	1
 - go	v	1
 - gr	a	1
 - ha	d	1
 - ha	s	10
 - ha	v	11
 - he	 	1
 - he	a	1
 - hi	s	2
 - hi	t	1
 - ho	w	8
 - i.	e	4
 - if	 	10
 - im	m	1
 - im	p	2
 - in	 	61
 - in	c	24
 - in	d	2
 - in	f	1
 - in	s	1
 - in	t	2
 - in	v	2
 - is	 	40
 - it	 	23
 - it	s	2
 - jo	i	1
 - ju	d	1
 - ju	s	3
 - la	r	3
 - le	s	1
 - le	t	3
 - li	k	2
 - lo	o	1
 - ma	d	1
 - ma	i	2
 - ma	k	1
 - ma	y	1
 - me	a	2
 - me	c	1
 - me	d	1
 - me	n	1
 - mi	g	3
 - mo	n	1
 - mo	r	5
 - mo	v	1
 - mu	s	11
 - my	 	3
 - na	m	1
 - na	n	1
 - na	t	1
 - ne	e	1
 - ne	w	1
 - ni	t	1
 - no	 	2
 - no	,	1
 - no	r	1
 - no	t	16
 - no	w	1
 - ob	j	1
 - of	 	11
 - of	t	3
 - oh	 	1
 - on	 	10
 - on	e	8
 - on	l	1
 - op	e	1
 - or	 	18
 - or	,	2
 - or	a	1
 - or	g	1
 - ot	h	3
 - ou	r	3
 - ov	e	2
 - pa	r	8
 - pe	o	2
 - pe	r	1
 - pl	a	1
 - po	i	2
 - po	l	2
 - po	t	1
 - pr	e	2
 - pr	o	6
 - pu	b	1
 - pu	t	1
 - qu	i	4
 - ra	t	1
 - re	g	1
 - re	q	2
 - re	s	2
 - ri	g	4
 - ro	u	2
 - ru	l	2
 - sa	d	2
 - sa	i	1
 - sa	n	1
 - sa	y	1
 - se	e	1
 - se	r	1
 - se	v	1
 - sh	a	1
 - sh	e	1
 - sh	o	10
 - si	n	1
 - sm	a	1
 - so	 	4
 - so	c	1
 - so	l	1
 - so	m	12
 - sp	a	1
 - sp	e	4
 - st	a	3
 - st	i	1
 - st	r	1
 - su	b	1
 - su	c	4
 - su	d	1
 - su	f	1
 - su	p	1
 - ta	k	1
 - ta	x	1
 - te	x	1
 - th	a	72
 - th	e	127
 - th	i	14
 - th	o	3
 - th	r	3
 - th	u	1
 - to	 	50
 - to	d	2
 - to	t	1
 - to	w	1
 - tr	a	1
 - tr	u	1
 - tr	y	1
 - tw	i	1
 - un	a	1
 - un	d	5
 - un	f	1
 - un	i	1
 - un	l	1
 - un	t	1
 - us	i	1
 - va	r	1
 - ve	r	3
 - vi	a	1
 - vo	t	1
 - wa	s	7
 - we	 	28
 - we	a	1
 - we	l	1
 - we	r	2
 - wh	a	5
 - wh	e	12
 - wh	i	70
 - wh	o	16
 - wh	y	1
 - wi	l	18
 - wi	t	12
 - wo	r	2
 - wo	u	3
 - ye	s	1
 - ye	t	2
 - yo	u	10
 - Œí	7	1
 -, a	n	2
 -, m	o	1
 -, o	n	1
 -.Th	e	2
 -.by	 	2
 -;by	 	13
 -by 	M	2
 -of 	t	1
 -sho	u	1
 ... 	(	2
 ... 	B	1
 ... 	C	1
 ... 	H	1
 ... 	I	3
 ... 	L	1
 ... 	T	1
 ... 	a	1
 ... 	b	1
 ... 	h	1
 ... 	t	1
 ...'	,	1
 ...'	.	1
 ...)	(	1
 ...A	s	1
 ...C	o	1
 ...I	 	1
 ...I	t	1
 ...M	o	1
 ...M	r	1
 ...O	n	2
 ...S	e	1
 ...S	o	1
 ...T	h	8
 .How	e	1
 0 an	d	1
 0 to	 	1
 0, w	e	1
 0. I	n	1
 0.1%	 	1
 0.2%	 	1
 0.48	%	1
 0.5%	 	1
 0.55	%	1
 0.7%	 	4
 0.8%	 	1
 000 	(	1
 000 	0	8
 000 	B	1
 000 	E	2
 000 	L	1
 000 	S	1
 000 	T	4
 000 	a	6
 000 	b	2
 000 	c	3
 000 	d	2
 000 	e	3
 000 	f	7
 000 	h	2
 000 	i	11
 000 	j	2
 000 	k	5
 000 	l	2
 000 	m	1
 000 	n	1
 000 	o	5
 000 	p	36
 000 	r	5
 000 	s	1
 000 	t	19
 000 	w	3
 000 	y	2
 000)	 	1
 000)	.	1
 000,	 	9
 000-	a	1
 000.	 	1
 000.	I	2
 0003	/	1
 047 	5	1
 07:0	0	2
 1 (c	o	1
 1 - 	t	1
 1 00	0	8
 1 10	0	2
 1 20	0	5
 1 30	0	2
 1 35	0	1
 1 37	4	1
 1 50	0	2
 1 60	0	2
 1 70	0	1
 1 80	0	1
 1 Ap	r	1
 1 De	c	6
 1 Ja	n	10
 1 Ju	l	2
 1 Ju	n	1
 1 Ma	r	1
 1 Ma	y	1
 1 No	v	1
 1 Oc	t	1
 1 an	d	1
 1 ar	e	1
 1 be	 	1
 1 be	c	2
 1 bi	l	3
 1 bu	t	1
 1 fo	r	1
 1 fu	n	1
 1 in	 	1
 1 in	f	1
 1 in	v	1
 1 is	 	1
 1 mi	l	3
 1 mu	s	1
 1 on	 	2
 1 re	g	1
 1 sa	y	1
 1 to	 	2
 1% [	E	1
 1% a	n	1
 1% i	n	1
 1% o	f	6
 1% p	e	1
 1% r	i	1
 1%. 	T	1
 1%. 	W	1
 1) 2	0	1
 1) i	n	1
 1) t	h	5
 1, 2	 	2
 1, 2	,	1
 1, b	e	1
 1, e	n	1
 1, w	h	1
 1. I	 	2
 1. I	t	1
 1. P	o	1
 1. R	e	2
 1. T	h	3
 1. W	e	1
 1. W	h	1
 1.06	%	2
 1.11	%	2
 1.2 	t	1
 1.24	 	2
 1.25	 	1
 1.3 	b	2
 1.4%	 	1
 1.5 	G	1
 1.5 	m	1
 1.5%	 	1
 1.6 	m	1
 1.7 	b	1
 1.7 	m	1
 1.9 	b	2
 10 ,	w	1
 10 0	0	3
 10 1	0	1
 10 5	0	1
 10 D	e	1
 10 E	u	1
 10 F	e	1
 10 J	u	3
 10 M	a	1
 10 M	e	2
 10 N	o	1
 10 a	m	1
 10 a	n	1
 10 b	i	1
 10 e	m	1
 10 g	u	1
 10 h	a	1
 10 h	e	1
 10 m	i	4
 10 n	a	1
 10 o	f	1
 10 p	r	1
 10 s	o	1
 10 t	o	2
 10 w	h	1
 10 y	e	10
 10% 	a	10
 10% 	b	1
 10% 	c	1
 10% 	i	1
 10% 	o	6
 10% 	p	1
 10% 	w	1
 10%,	 	4
 10%.	 	3
 10%;	 	1
 10),	 	1
 10-y	e	3
 100 	0	8
 100 	M	1
 100 	S	1
 100 	a	1
 100 	d	1
 100 	i	1
 100 	k	1
 100 	m	5
 100 	y	1
 100%	 	8
 100%	,	1
 100%	.	2
 100,	 	1
 100-	2	1
 100.	T	1
 1000	 	1
 100t	h	5
 102 	m	1
 104 	m	1
 1049	/	1
 1060	/	2
 108 	o	1
 109 	o	1
 10th	 	2
 11 0	0	1
 11 A	p	1
 11 F	e	1
 11 J	u	1
 11 M	a	4
 11 N	o	2
 11 a	n	1
 11 c	o	1
 11 o	r	1
 11 o	t	1
 11 p	a	1
 11% 	o	1
 11%,	 	1
 11(1	)	1
 11) 	w	1
 11),	 	1
 11, 	w	1
 11-A	,	1
 110 	b	3
 110 	m	1
 113.	 	1
 115 	0	1
 115 	i	1
 115 	m	1
 115(	5	1
 1178	 	1
 1191	 	1
 11th	 	1
 12 0	0	2
 12 3	6	1
 12 A	p	3
 12 A	u	1
 12 D	e	1
 12 J	u	1
 12 M	a	5
 12 M	e	2
 12 N	o	2
 12 a	c	1
 12 a	r	1
 12 b	i	1
 12 h	o	1
 12 m	i	6
 12 m	o	4
 12 n	e	2
